序号,动作ID,动作名称,身体部位,测试侧,阶段,建议原图文件名,项目目标路径,画面内容提示,拍摄要求,待导入图片路径,匹配状态,备注
1,shoulder_abduction,肩外展,肩部,左侧,准备姿势,shoulder_abduction_left_start_肩外展_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_abduction/left/start.png,手臂自然下垂。,正对镜头，髋、肩、肘完整入镜。,,待提供,
2,shoulder_abduction,肩外展,肩部,左侧,完成动作,shoulder_abduction_left_move_肩外展_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_abduction/left/move.png,向身体侧方缓慢抬臂。,正对镜头，髋、肩、肘完整入镜。,,待提供,
3,shoulder_abduction,肩外展,肩部,左侧,返回起点,shoulder_abduction_left_return_肩外展_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_abduction/left/return.png,缓慢放下，回到起始位置。,正对镜头，髋、肩、肘完整入镜。,,待提供,
4,shoulder_abduction,肩外展,肩部,右侧,准备姿势,shoulder_abduction_right_start_肩外展_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_abduction/right/start.png,手臂自然下垂。,正对镜头，髋、肩、肘完整入镜。,,待提供,
5,shoulder_abduction,肩外展,肩部,右侧,完成动作,shoulder_abduction_right_move_肩外展_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_abduction/right/move.png,向身体侧方缓慢抬臂。,正对镜头，髋、肩、肘完整入镜。,,待提供,
6,shoulder_abduction,肩外展,肩部,右侧,返回起点,shoulder_abduction_right_return_肩外展_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_abduction/right/return.png,缓慢放下，回到起始位置。,正对镜头，髋、肩、肘完整入镜。,,待提供,
7,sit_to_stand,居家坐站,膝部,左侧,准备姿势,sit_to_stand_left_start_居家坐站_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/sit_to_stand/left/start.png,坐在固定座椅上，按计划使用扶手或支撑。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
8,sit_to_stand,居家坐站,膝部,左侧,完成动作,sit_to_stand_left_move_居家坐站_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/sit_to_stand/left/move.png,按已确认计划缓慢起立，到达已记录的站位。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
9,sit_to_stand,居家坐站,膝部,左侧,返回起点,sit_to_stand_left_return_居家坐站_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/sit_to_stand/left/return.png,缓慢回坐。回坐后才可开始下一次。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
10,sit_to_stand,居家坐站,膝部,右侧,准备姿势,sit_to_stand_right_start_居家坐站_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/sit_to_stand/right/start.png,坐在固定座椅上，按计划使用扶手或支撑。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
11,sit_to_stand,居家坐站,膝部,右侧,完成动作,sit_to_stand_right_move_居家坐站_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/sit_to_stand/right/move.png,按已确认计划缓慢起立，到达已记录的站位。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
12,sit_to_stand,居家坐站,膝部,右侧,返回起点,sit_to_stand_right_return_居家坐站_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/sit_to_stand/right/return.png,缓慢回坐。回坐后才可开始下一次。,从测试侧拍摄，髋、膝、踝完整入镜。,,待提供,
13,shoulder_flexion,肩前屈,肩部,左侧,准备姿势,shoulder_flexion_left_start_肩前屈_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_flexion/left/start.png,手臂自然下垂。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
14,shoulder_flexion,肩前屈,肩部,左侧,完成动作,shoulder_flexion_left_move_肩前屈_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_flexion/left/move.png,向身体前方缓慢抬臂。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
15,shoulder_flexion,肩前屈,肩部,左侧,返回起点,shoulder_flexion_left_return_肩前屈_左侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_flexion/left/return.png,缓慢放下，回到起始位置。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
16,shoulder_flexion,肩前屈,肩部,右侧,准备姿势,shoulder_flexion_right_start_肩前屈_右侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_flexion/right/start.png,手臂自然下垂。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
17,shoulder_flexion,肩前屈,肩部,右侧,完成动作,shoulder_flexion_right_move_肩前屈_右侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_flexion/right/move.png,向身体前方缓慢抬臂。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
18,shoulder_flexion,肩前屈,肩部,右侧,返回起点,shoulder_flexion_right_return_肩前屈_右侧_返回起点.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/shoulder_flexion/right/return.png,缓慢放下，回到起始位置。,测试侧朝向镜头，髋、肩、肘完整入镜。,,待提供,
19,elbow_flexion,肘屈伸,肘部,左侧,准备姿势,elbow_flexion_left_start_肘屈伸_左侧_准备姿势.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_flexion/left/start.png,舒适伸肘，不要用力绷直。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
20,elbow_flexion,肘屈伸,肘部,左侧,完成动作,elbow_flexion_left_move_肘屈伸_左侧_完成动作.png,rehab_codex_single_camera_v2_1/assets/exercise-guides/elbow_flexion/left/move.png,上臂保持原位，缓慢屈肘。,从测试侧拍摄，肩、肘、腕完整入镜。,,待提供,
